DroneID,Record,Citizen,Message,PeaceScore,Country,City,Latitude,Longitude,Battery,Alert
1,USA-8226,Lyssa Pattin,Dolore neque etincidunt ipsum.,4,United States,Ashland,42.2573,-71.4687,55,0
3,USA-10616,Lita Johnsson,Dolor velit dolore quaerat ut sit aliquam porro.,6,United States,Mill Valley,37.9085,-122.5421,79,0
6,USA-11194,Annice Cohdwell,Consectetur aliquam est adipisci amet.,5,United States,Oak Grove,45.4156,-122.6349,48,0
7,USA-13828,Gwyneth Beebe,Sed ut ipsum modi quiquia ut.,1,United States,Franklin,39.5538,-84.295,50,0
7,JPN-3938,Ileana Vorster,Voluptatem labore etincidunt porro.,6,Japan,Kizuki,33.85,130.7,72,0
8,RUS-6729,Karena Cath,Dolor voluptatem sed ut consectetur sit labore.,10,Russia,Kamensk-Ural’skiy,56.4,61.9333,49,0
4,GBR-12241,Valera Dash,Dolore neque amet adipisci porro sit sed tempora.,7,United Kingdom,Frome,51.2279,-2.3215,24,0
5,CHN-14645,Shaine Kelula,Porro etincidunt quisquam adipisci dolore ut ipsum ipsum.,6,China,Kuaidamao,41.68,125.75,81,0
8,DEU-2503,Bee Pelagias,Dolore numquam quiquia dolorem etincidunt dolorem amet.,5,Germany,Rheinfelden (Baden),47.5611,7.7917,65,0
5,PRT-19305,Catharine Fancie,Ut eius magnam numquam sit adipisci consectetur modi.,5,Portugal,Coimbra,40.2111,-8.4291,31,1
4,USA-11662,Dede Brian,Velit porro amet amet voluptatem est non dolore.,4,United States,Warm Mineral Springs,27.0469,-82.2702,79,1
8,MUS-13161,Joleen Diogenes,Est numquam non dolor ipsum sed.,7,Mauritius,Curepipe,-20.3162,57.5166,57,0
1,FRA-9322,Talya Wilkinson,Neque ipsum quiquia est dolore labore quisquam.,5,France,Aix-les-Bains,45.6885,5.9153,7,0
8,USA-3333,Natka Sinegold,Neque numquam eius etincidunt sit dolor adipisci est.,7,United States,Garden City,32.0868,-81.1773,97,0
8,DEU-10470,Valera Alwin,Etincidunt labore etincidunt velit dolorem dolor amet non.,7,Germany,Wirges,50.4742,7.7953,90,0
7,USA-3441,Eadie Sothena,Eius quiquia modi ut.,7,United States,Washington,37.1304,-113.4877,38,0
7,DEU-16964,Iseabal Othilia,Numquam velit dolore modi quisquam quisquam quaerat.,6,Germany,Herdecke,51.4,7.4333,30,0
7,USA-2299,Leia Chick,Amet non dolore quisquam aliquam.,7,United States,San Lorenzo,37.6737,-122.1349,67,0
3,ETH-16504,Alyssa Zaslow,Modi quaerat est porro.,6,Ethiopia,Nek’emtē,9.0905,36.53,73,0
7,KEN-13340,Merry Lane,Voluptatem numquam sit porro.,7,Kenya,Homa Bay,-0.5167,34.45,99,0
4,BOL-8736,Celestyna Abernon,Porro magnam aliquam neque etincidunt.,4,Bolivia,Yacuiba,-22.0139,-63.6778,71,1
4,USA-8578,Stevana Gregrory,Dolorem numquam dolor aliquam non quaerat.,6,United States,Lower Southampton,40.1541,-74.9903,5,0
2,AUT-3012,Lynde Turne,Voluptatem velit ipsum ipsum ut dolore.,2,Austria,Gloggnitz,47.6758,15.9383,89,1
7,JPN-9907,Annaliese Charity,Ipsum sed quiquia magnam ipsum ut.,6,Japan,Saijō,33.9196,133.1812,35,0
